Vnum	Name	Rank	Type	BattleType	Level	Size	AiFlags	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneskin	SpGodspeed	SpDeathblow	SpRevive			
1001	Demônio	S_PAWN	MONSTER	MELEE	57			0	UNDEAD,ATT_DARK		0	skeleton_soldier_scythe	0	39	75	56	19	83	101	2025	4	12	24400	36600	9610	45	100	100	99	2000	175	30015	0	3	0	0	0	0	1	0	0	0	0	0	-20	0	0	0	0	0	1.0	0	0	None	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1002	Demônio Arqueiro	S_PAWN	MONSTER	MELEE	58			0	UNDEAD,ATT_DARK		0	skeleton_soldier_bow	0	44	37	74	19	91	111	1761	5	7	49600	74400	10830	51	100	100	99	2000	850	30087	0	3	0	0	0	0	1	-5	-20	0	0	0	20	0	0	0	5	0	1.0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1003	Demônio Lanceiro	S_PAWN	MONSTER	MELEE	59			0	UNDEAD,ATT_DARK		0	skeleton_soldier_spear	0	64	75	38	19	77	142	2860	5	7	25200	37800	11820	56	100	100	99	2000	175	30016	0	3	0	0	0	0	1	0	0	-25	0	0	0	0	0	0	0	0	1.0	0	0	None	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1004	Demônio Shaman	KNIGHT	MONSTER	RANGE	60			0	UNDEAD,ATT_DARK		0	skeleton_magician	0	66	57	38	19	80	148	4066	9	12	35200	52800	16400	58	100	200	99	2000	850	30086	0	3	0	0	0	0	1	-10	-10	-10	-10	-10	-10	0	0	0	0	0	1.0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1031	Rancoroso	KNIGHT	MONSTER	MELEE	67		AGGR	0	UNDEAD,ATT_DARK	CURSE	0	skeleton_soldier_scythe	0	70	93	34	21	132	161	6438	9	12	39100	58600	21520	76	100	100	100	2000	175	0	1061	5	0	0	0	0	1	0	0	0	0	0	-20	0	0	0	0	0	1.0	0	0	None	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20			
1032	Rancoroso Arqueiro	KNIGHT	MONSTER	MELEE	69		AGGR	0	UNDEAD,ATT_DARK	CURSE	0	skeleton_soldier_bow	0	59	104	20	22	120	180	4933	9	12	40200	60300	27700	78	100	100	100	2000	850	0	1062	5	0	0	0	0	1	-5	-15	0	0	0	20	0	0	0	0	0	1.0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20			
1033	Rancoroso Lanceiro	KNIGHT	MONSTER	MELEE	70		AGGR	0	UNDEAD,ATT_DARK	CURSE	0	skeleton_soldier_spear	0	72	80	44	22	137	167	6959	9	12	40800	61200	22480	79	100	100	100	2000	175	0	1063	10	0	0	0	0	1	0	0	-20	0	0	0	0	0	0	0	0	1.0	0	0	None	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20			
1034	Rancoroso Shaman	KNIGHT	MONSTER	RANGE	71		AGGR	0	UNDEAD,ATT_DARK	CURSE	0	skeleton_magician	0	45	90	53	26	108	200	7133	9	12	41300	62000	22800	80	100	100	100	2000	850	0	1064	10	0	0	0	0	1	-5	-10	-5	-15	-5	20	0	0	0	10	0	1.0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20			
1035	Rancoroso Fantasma	KNIGHT	MONSTER	MELEE	72		AGGR	0	UNDEAD,ATT_DARK	CURSE	0	spite_ghost	0	46	91	68	23	109	203	7309	9	12	41900	62800	23120	81	100	100	100	2000	175	0	1065	15	0	0	0	10	1	0	0	0	0	0	-10	0	0	0	0	0	1.0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20			
1036	Rancoroso Caótico	KNIGHT	MONSTER	RANGE	73		AGGR	0	UNDEAD,ATT_DARK	CURSE	0	chaos_ghost	0	55	92	69	23	110	205	7484	9	12	42400	63700	23440	82	100	100	100	2000	850	0	1066	15	0	0	0	0	1	-10	-5	-15	-5	-10	25	0	0	0	15	0	1.0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20			
1037	Rancoroso Soldado	S_KNIGHT	MONSTER	MELEE	71		AGGR	0	UNDEAD,ATT_DARK	CURSE	0	skeleton_general	0	81	45	73	22	108	200	11146	4	12	52700	79000	45600	80	100	100	100	2000	175	0	1067	20	5	0	0	0	1	0	0	5	5	0	-15	0	0	0	0	0	2.0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20			
