0102 17:04:00004 :: 
0102 17:04:00005 :: ## Network - OffLine Phase ##
0102 17:04:00005 :: 
0102 17:04:00366 :: importing from pack debuginfo
0102 17:04:00367 :: SYSERR: Carregando arquivo via pack: root/prototype.py
0102 17:04:00369 :: importing from lib dbg
0102 17:04:00369 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00369 :: importing from lib wndMgr
0102 17:04:00369 :: importing from lib systemSetting
0102 17:04:00369 :: importing from pack mousemodule
0102 17:04:00377 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00377 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00377 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00379 :: importing from lib systemSetting
0102 17:04:00379 :: importing from lib grpImage
0102 17:04:00379 :: importing from lib wndMgr
0102 17:04:00379 :: importing from lib skill
0102 17:04:00379 :: importing from lib dbg
0102 17:04:00379 :: importing from pack ui
0102 17:04:00551 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00551 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00551 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00551 :: importing from lib ime
0102 17:04:00551 :: importing from lib grp
0102 17:04:00552 :: importing from lib snd
0102 17:04:00552 :: importing from lib wndMgr
0102 17:04:00552 :: importing from lib skill
0102 17:04:00552 :: importing from pack localeinfo
0102 17:04:00560 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00561 :: SYSERR: Carregando arquivo via pack: locale/pt/locale_game.txt
0102 17:04:00617 :: importing from lib guild
0102 17:04:00617 :: importing from pack constinfo
0102 17:04:00625 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00625 :: importing from lib L0E5ajNEGIFdtCIFglqo
0102 17:04:00625 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00625 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00626 :: importing from lib os
0102 17:04:00626 :: SYSERR: Carregando arquivo via builtins.open: miles/camera.cfg
0102 17:04:00630 :: SYSERR: Carregando arquivo via builtins.open: miles/amount.cfg
0102 17:04:00631 :: importing from pack colorinfo
0102 17:04:00632 :: importing from lib dbg
0102 17:04:00633 :: importing from pack exception
0102 17:04:00634 :: importing from lib os
0102 17:04:00635 :: importing from lib weakref
0102 17:04:00635 :: importing from lib _io
0102 17:04:00641 :: importing from lib _weakref
0102 17:04:00642 :: importing from lib _weakrefset
0102 17:04:00642 :: importing from lib _io
0102 17:04:00646 :: importing from lib _weakref
0102 17:04:00647 :: importing from lib types
0102 17:04:00648 :: importing from lib _collections_abc
0102 17:04:00648 :: importing from lib sys
0102 17:04:00648 :: importing from lib itertools
0102 17:04:00652 :: importing from pack networkmodule
0102 17:04:00657 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00657 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:00657 :: importing from sys.modules ui
0102 17:04:00657 :: importing from lib dbg
0102 17:04:00659 :: importing from pack uiphasecurtain
0102 17:04:00660 :: importing from sys.modules ui
0102 17:04:00661 :: importing from lib grp
0102 17:04:00661 :: importing from lib wndMgr
0102 17:04:00661 :: importing from sys.modules localeinfo
0102 17:04:00661 :: importing from pack game
0102 17:04:00718 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00719 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00719 :: importing from lib ga3vqy6jtxqi9yf344j7
0102 17:04:00719 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00719 :: importing from lib zn94xlgo573hf8xmddzq
0102 17:04:00719 :: importing from lib Js4k2l7BrdasmVRt8Wem
0102 17:04:00720 :: importing from lib L0E5ajNEGIFdtCIFglqo
0102 17:04:00720 :: importing from lib os
0102 17:04:00720 :: importing from lib dbg
0102 17:04:00720 :: importing from lib grp
0102 17:04:00720 :: importing from lib background
0102 17:04:00721 :: importing from lib textTail
0102 17:04:00721 :: importing from lib snd
0102 17:04:00721 :: importing from lib wndMgr
0102 17:04:00721 :: importing from lib systemSetting
0102 17:04:00721 :: importing from lib quest
0102 17:04:00722 :: importing from lib guild
0102 17:04:00722 :: importing from lib skill
0102 17:04:00722 :: importing from lib messenger
0102 17:04:00722 :: importing from sys.modules localeinfo
0102 17:04:00722 :: importing from sys.modules constinfo
0102 17:04:00723 :: importing from lib exchange
0102 17:04:00723 :: importing from lib ime
0102 17:04:00723 :: importing from sys.modules ui
0102 17:04:00724 :: importing from pack uicommon
0102 17:04:00742 :: importing from lib enszxc3467hc3kokdueq
0102 17:04:00742 :: importing from lib LURMxMaKZJqliYt2QSHG
0102 17:04:00742 :: importing from lib XXjvumrgrYBZompk3PS8
0102 17:04:00742 :: importing from sys.modules ui
0102 17:04:00742 :: importing from lib ime
0102 17:04:00743 :: importing from sys.modules localeinfo
0102 17:04:00743 :: importing from sys.modules constinfo
0102 17:04:00743 :: importing from pack uitooltip
